2025-01-14 01:30:17,175 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771435, 5771463, 5771471]
2025-01-14 01:30:17,179 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771435, 5771463, 5771471]
2025-01-14 01:30:17,183 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771435, 5771463, 5771471]
2025-01-14 01:30:17,187 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771435, 5771463, 5771471]
2025-01-14 01:30:17,197 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771435, 5771463, 5771471]
2025-01-14 01:30:17,213 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771282, 5771310, 5771318]
2025-01-14 01:30:17,217 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771282, 5771310, 5771318]
2025-01-14 01:30:17,221 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771282, 5771310, 5771318]
2025-01-14 01:30:17,224 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771282, 5771310, 5771318]
2025-01-14 01:30:17,231 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771282, 5771310, 5771318]
2025-01-14 01:30:17,235 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771282, 5771310, 5771318]
2025-01-14 01:30:17,239 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771282, 5771310, 5771318]
2025-01-14 01:30:17,246 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771282, 5771310, 5771318]
2025-01-14 01:30:17,261 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771384, 5771412, 5771420]
2025-01-14 01:30:17,265 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771384, 5771412, 5771420]
2025-01-14 01:30:17,268 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771384, 5771412, 5771420]
2025-01-14 01:30:17,275 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771384, 5771412, 5771420]
2025-01-14 01:30:17,279 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771384, 5771412, 5771420]
2025-01-14 01:30:17,284 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771384, 5771412, 5771420]
2025-01-14 01:30:17,290 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771384, 5771412, 5771420]
2025-01-14 01:30:17,296 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771384, 5771412, 5771420]
2025-01-14 01:30:17,317 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771486, 5794775]
